"from";"to";"type";"subtype";"value"
"1";"52";"48";"PPrel";"activation";"-->"
"2";"47";"49";"PPrel";"activation";"-->"
"3";"20";"49";"PPrel";"activation";"-->"
"4";"50";"49";"PPrel";"activation";"-->"
"5";"45";"41";"PPrel";"activation";"-->"
"6";"111";"108";"PPrel";"activation";"-->"
"7";"110";"107";"PPrel";"activation";"-->"
"8";"24";"106";"PPrel";"activation";"-->"
"9";"109";"105";"PPrel";"activation";"-->"
"10";"106";"101";"PPrel";"activation";"-->"
"11";"105";"101";"PPrel";"activation";"-->"
"12";"53";"54";"PPrel";"binding/association";"---"
"13";"51";"53";"PPrel";"binding/association";"---"
"14";"97";"100";"PPrel";"binding/association";"---"
"15";"96";"100";"PPrel";"binding/association";"---"
"16";"138";"141";"PPrel";"binding/association";"---"
"17";"138";"140";"PPrel";"binding/association";"---"
"18";"37";"39";"PPrel";"binding/association";"---"
"19";"37";"38";"PPrel";"binding/association";"---"
"20";"36";"37";"PPrel";"binding/association";"---"
"21";"116";"119";"PPrel";"binding/association";"---"
"22";"116";"118";"PPrel";"binding/association";"---"
"23";"116";"117";"PPrel";"binding/association";"---"
"24";"116";"135";"PPrel";"binding/association";"---"
"25";"119";"131";"PPrel";"binding/association";"---"
"26";"120";"131";"PPrel";"binding/association";"---"
"27";"118";"131";"PPrel";"binding/association";"---"
"28";"131";"133";"PPrel";"binding/association";"---"
"29";"117";"131";"PPrel";"binding/association";"---"
"30";"119";"121";"PPrel";"binding/association";"---"
"31";"120";"121";"PPrel";"binding/association";"---"
"32";"120";"132";"PPrel";"binding/association";"---"
"33";"120";"122";"PPrel";"binding/association";"---"
"34";"46";"45";"PPrel";"phosphorylation";"+p"
"35";"44";"49";"PPrel";"phosphorylation";"+p"
"36";"44";"40";"PPrel";"phosphorylation";"+p"
"37";"51";"49";"PPrel";"activation";"-->"
"38";"49";"41";"PPrel";"activation";"-->"
"39";"49";"40";"PPrel";"activation";"-->"
"40";"41";"39";"PPrel";"phosphorylation";"+p"
"41";"41";"38";"PPrel";"phosphorylation";"+p"
"42";"40";"39";"PPrel";"phosphorylation";"+p"
"43";"40";"38";"PPrel";"phosphorylation";"+p"
"44";"39";"36";"PPrel";"phosphorylation";"+p"
"45";"38";"36";"PPrel";"phosphorylation";"+p"
"46";"36";"32";"PPrel";"phosphorylation";"+p"
"47";"36";"31";"PPrel";"phosphorylation";"+p"
"48";"36";"30";"PPrel";"phosphorylation";"+p"
"49";"36";"144";"PPrel";"phosphorylation";"+p"
"50";"36";"143";"PPrel";"phosphorylation";"+p"
"51";"36";"141";"PPrel";"phosphorylation";"+p"
"52";"36";"140";"PPrel";"phosphorylation";"+p"
"53";"144";"142";"PPrel";"phosphorylation";"+p"
"54";"143";"142";"PPrel";"phosphorylation";"+p"
"55";"36";"287";"PPrel";"phosphorylation";"+p"
"56";"113";"133";"PPrel";"activation";"-->"
"57";"113";"114";"PPrel";"activation";"-->"
"58";"103";"95";"PPrel";"activation";"-->"
"59";"102";"94";"PPrel";"activation";"-->"
"60";"102";"89";"PPrel";"activation";"-->"
"61";"102";"133";"PPrel";"activation";"-->"
"62";"101";"89";"PPrel";"activation";"-->"
"63";"99";"86";"PPrel";"activation";"-->"
"64";"114";"115";"PPrel";"phosphorylation";"+p"
"65";"135";"117";"PPrel";"phosphorylation";"+p"
"66";"29";"133";"PPrel";"phosphorylation";"+p"
"67";"136";"133";"PPrel";"phosphorylation";"+p"
"68";"92";"118";"PPrel";"phosphorylation";"+p"
"69";"93";"118";"PPrel";"phosphorylation";"+p"
"70";"91";"118";"PPrel";"phosphorylation";"+p"
"71";"89";"80";"PPrel";"phosphorylation";"+p"
"72";"89";"79";"PPrel";"phosphorylation";"+p"
"73";"88";"35";"PPrel";"phosphorylation";"+p"
"74";"88";"34";"PPrel";"phosphorylation";"+p"
"75";"88";"80";"PPrel";"phosphorylation";"+p"
"76";"88";"79";"PPrel";"phosphorylation";"+p"
"77";"88";"65";"PPrel";"phosphorylation";"+p"
"78";"90";"80";"PPrel";"phosphorylation";"+p"
"79";"90";"79";"PPrel";"phosphorylation";"+p"
"80";"80";"77";"PPrel";"phosphorylation";"+p"
"81";"79";"77";"PPrel";"phosphorylation";"+p"
"82";"77";"76";"PPrel";"phosphorylation";"+p"
"83";"77";"75";"PPrel";"phosphorylation";"+p"
"84";"77";"74";"PPrel";"phosphorylation";"+p"
"85";"77";"73";"PPrel";"phosphorylation";"+p"
"86";"77";"72";"PPrel";"phosphorylation";"+p"
"87";"77";"71";"PPrel";"phosphorylation";"+p"
"88";"77";"70";"PPrel";"phosphorylation";"+p"
"89";"77";"112";"PPrel";"phosphorylation";"+p"
"90";"77";"68";"PPrel";"phosphorylation";"+p"
"91";"77";"67";"PPrel";"phosphorylation";"+p"
"92";"77";"66";"PPrel";"phosphorylation";"+p"
"93";"112";"87";"PPrel";"phosphorylation";"+p"
"94";"68";"87";"PPrel";"phosphorylation";"+p"
"95";"68";"69";"PPrel";"phosphorylation";"+p"
"96";"67";"69";"PPrel";"phosphorylation";"+p"
"97";"64";"63";"PPrel";"phosphorylation";"+p"
"98";"63";"62";"PPrel";"phosphorylation";"+p"
"99";"134";"35";"PPrel";"phosphorylation";"+p"
"100";"134";"34";"PPrel";"phosphorylation";"+p"
"101";"134";"39";"PPrel";"phosphorylation";"+p"
"102";"134";"38";"PPrel";"phosphorylation";"+p"
"103";"133";"34";"PPrel";"phosphorylation";"+p"
"104";"133";"120";"PPrel";"phosphorylation";"+p"
"105";"117";"118";"PPrel";"phosphorylation";"+p"
"106";"133";"39";"PPrel";"phosphorylation";"+p"
"107";"133";"38";"PPrel";"phosphorylation";"+p"
"108";"120";"119";"PPrel";"phosphorylation";"+p"
"109";"118";"119";"PPrel";"phosphorylation";"+p"
"110";"119";"126";"PPrel";"phosphorylation";"+p"
"111";"119";"125";"PPrel";"phosphorylation";"+p"
"112";"119";"75";"PPrel";"phosphorylation";"+p"
"113";"119";"74";"PPrel";"phosphorylation";"+p"
"114";"119";"128";"PPrel";"inhibition";"--|"
"115";"119";"128";"PPrel";"phosphorylation";"+p"
"116";"119";"127";"PPrel";"inhibition";"--|"
"117";"119";"127";"PPrel";"phosphorylation";"+p"
"118";"129";"128";"PPrel";"dephosphorylation";"-p"
"119";"84";"89";"PPrel";"inhibition";"--|"
"120";"84";"89";"PPrel";"phosphorylation";"+p"
"121";"84";"120";"PPrel";"inhibition";"--|"
"122";"84";"120";"PPrel";"phosphorylation";"+p"
"123";"129";"127";"PPrel";"dephosphorylation";"-p"
"124";"48";"49";"PPrel";"inhibition";"--|"
"125";"43";"49";"PPrel";"inhibition";"--|"
"126";"42";"49";"PPrel";"inhibition";"--|"
"127";"22";"36";"PPrel";"inhibition";"--|"
"128";"22";"36";"PPrel";"dephosphorylation";"-p"
"129";"21";"36";"PPrel";"inhibition";"--|"
"130";"21";"36";"PPrel";"dephosphorylation";"-p"
"131";"81";"119";"PPrel";"inhibition";"--|"
"132";"81";"119";"PPrel";"dephosphorylation";"-p"
"133";"81";"77";"PPrel";"inhibition";"--|"
"134";"81";"77";"PPrel";"dephosphorylation";"-p"
"135";"82";"119";"PPrel";"inhibition";"--|"
"136";"82";"119";"PPrel";"dephosphorylation";"-p"
"137";"82";"77";"PPrel";"inhibition";"--|"
"138";"82";"77";"PPrel";"dephosphorylation";"-p"
"139";"83";"80";"PPrel";"inhibition";"--|"
"140";"83";"80";"PPrel";"dephosphorylation";"-p"
"141";"83";"79";"PPrel";"inhibition";"--|"
"142";"83";"79";"PPrel";"dephosphorylation";"-p"
"143";"83";"118";"PPrel";"inhibition";"--|"
"144";"83";"118";"PPrel";"dephosphorylation";"-p"
"145";"83";"120";"PPrel";"inhibition";"--|"
"146";"83";"120";"PPrel";"dephosphorylation";"-p"
"147";"78";"89";"PPrel";"inhibition";"--|"
"148";"78";"89";"PPrel";"dephosphorylation";"-p"
"149";"23";"88";"PPrel";"inhibition";"--|"
"150";"23";"88";"PPrel";"dephosphorylation";"-p"
"151";"123";"119";"PPrel";"inhibition";"--|"
"152";"124";"119";"PPrel";"inhibition";"--|"
"153";"288";"137";"GErel";"expression";"-->"
"154";"104";"98";"PPrel";"indirect effect";"..>"
"155";"35";"33";"PPrel";"indirect effect";"..>"
"156";"34";"33";"PPrel";"indirect effect";"..>"
"157";"55";"20";"PPrel";"compound";"28"
"158";"55";"50";"PPrel";"compound";"28"
"159";"19";"104";"PCrel";"activation";"-->"
"160";"26";"47";"PCrel";"activation";"-->"
"161";"25";"44";"PCrel";"activation";"-->"
"162";"25";"46";"PCrel";"activation";"-->"
"163";"26";"46";"PCrel";"activation";"-->"
"164";"103";"114";"PPrel";"activation";"-->"
"165";"103";"133";"PPrel";"activation";"-->"
"166";"35";"34";"PPrel";"phosphorylation";"+p"
"167";"98";"88";"PPrel";"activation";"-->"
"168";"97";"88";"PPrel";"activation";"-->"
"169";"108";"275";"PPrel";NA;NA
"170";"275";"102";"PPrel";"activation";"-->"
"171";"275";"103";"PPrel";"activation";"-->"
"172";"275";"103";"PPrel";"indirect effect";"..>"
"173";"107";"278";"PPrel";"activation";"-->"
"174";"278";"279";"PPrel";"activation";"-->"
"175";"102";"98";"PPrel";"activation";"-->"
"176";"279";"100";"PPrel";"activation";"-->"
"177";"279";"100";"PPrel";"indirect effect";"..>"
"178";"100";"98";"PPrel";"binding/association";"---"
"179";"274";"54";"PPrel";"activation";"-->"
"180";"49";"284";"PPrel";"activation";"-->"
"181";"284";"39";"PPrel";"activation";"-->"
"182";"284";"39";"PPrel";"phosphorylation";"+p"
"183";"284";"38";"PPrel";"activation";"-->"
"184";"284";"38";"PPrel";"phosphorylation";"+p"
"185";"86";"80";"PPrel";"activation";"-->"
"186";"86";"80";"PPrel";"phosphorylation";"+p"
"187";"86";"79";"PPrel";"activation";"-->"
"188";"86";"79";"PPrel";"phosphorylation";"+p"
"189";"85";"80";"PPrel";"activation";"-->"
"190";"85";"80";"PPrel";"phosphorylation";"+p"
"191";"85";"79";"PPrel";"activation";"-->"
"192";"85";"79";"PPrel";"phosphorylation";"+p"
"193";"49";"133";"PPrel";NA;NA
